Date,Open,High,Low,Close,Volume
1998-08-03,0.20173679694924612,0.19586700955221353,0.20304941964026985,0.19847104479932431,0.033313557998974064
1998-08-04,0.19797523787142607,0.19492098690882825,0.18539470937717048,0.18011325666792632,0.054028592457122465
1998-08-05,0.1795470530852193,0.17888042415898178,0.1787713577864398,0.18435215348125078,0.053939380422418984
1998-08-06,0.1838022048064663,0.1817045891691104,0.1868228273239473,0.18808561490865067,0.04651693913508932
1998-08-07,0.18754998294748465,0.1870270025984482,0.19129944871693516,0.18800363580123297,0.045687267212346935
1998-08-10,0.1874676894745843,0.18256333040565623,0.18994458326815739,0.18513070367452122,0.029636237928496557
1998-08-11,0.18458374050805693,0.17811810145230714,0.17723797044227055,0.17868359874875628,0.04705221134331021
1998-08-12,0.17811191285334843,0.17883445704126458,0.18409476934110122,0.1856224107675623,0.041458616767401923
1998-08-13,0.18507733315148395,0.18195718329819668,0.18680913796757512,0.181383569501191,0.03690880299752436
1998-08-14,0.18082223719019608,0.1784763072592754,0.17871185048797597,0.1758470708203,0.03542163837901732
1998-08-17,0.17526450768434415,0.1783615019741616,0.17773229961437795,0.18537202741254155,0.030100140508954657
1998-08-18,0.18482598965080255,0.1866504100362372,0.19081886474436294,0.19335344481496342,0.03957624283515847
1998-08-19,0.19283801341395496,0.18876281580180337,0.1959729186328743,0.1919238428980493,0.03449383321810112
1998-08-20,0.19140292939909204,0.18530492332174067,0.19351032439979093,0.18898254840759426,0.033423288801659345
1998-08-21,0.18845035591949877,0.1820030943909349,0.17765910295954193,0.18426561679185632,0.04270758525325066
1998-08-24,0.18371533627461845,0.1830225515461116,0.18970655407430204,0.18740721814844907,0.027755648236947168
1998-08-25,0.18686898473757635,0.18890979825300774,0.1916702372495226,0.18955167702607628,0.03728349354327899
1998-08-26,0.1890216669768786,0.18257712081650404,0.18726686881226454,0.1856087380216319,0.03810424426255102
1998-08-27,0.1850636079746415,0.17860024966742097,0.1697357550318482,0.16666814898112442,0.061700827441621864
